OBJECTID	tract	SHAPE_Length	SHAPE_Area	density	Tract_1	Population
417	6071002402	0.078304	0.00038	18846760	6071002402	7164
418	6071002501	0.106853	0.000389	15062031	6071002501	5861
419	6071002502	0.064248	0.000255	26346688	6071002502	6724
420	6071002601	0.25513	0.002097	2398460	6071002601	5030
421	6071002602	0.062913	0.000199	37066528	6071002602	7409
422	6071002603	0.176573	0.000845	21159740	6071002603	17896
423	6071007407	0.049296	0.000125	26580264	6071007407	3345
424	6071007408	0.049518	0.000127	29723574	6071007408	3785
425	6071007500	0.038528	0.000081	16092449	6071007500	1309
426	6071007601	0.063479	0.000252	25245736	6071007601	6386
427	6071007602	0.140719	0.000873	9445167	6071007602	8252
428	6071007700	0.152061	0.000774	0	6071007700	0
429	6071007800	0.186475	0.001777	2279260.75	6071007800	4051
430	6071007901	0.173866	0.00118	4374399.5	6071007901	5164
431	6071007902	0.229042	0.001904	4585216.5	6071007902	8731
432	6071008001	0.096368	0.00048	11758243	6071008001	5645
433	6071008002	0.087497	0.00034	20910456	6071008002	7126
434	6071008100	0.075987	0.000179	18073214	6071008100	3239
435	6071008200	0.0678	0.000232	21425948	6071008200	4989
436	6071008301	0.105424	0.000398	16682146	6071008301	6655
437	6071008302	0.10565	0.000464	6768068.5	6071008302	3145
438	6071008401	0.128356	0.00076	8322343	6071008401	6330
439	6071008402	0.064287	0.000254	25134670	6071008402	6408
440	6071008403	0.102264	0.000514	10822859	6071008403	5571
441	6071008404	0.050184	0.000126	31526066	6071008404	3988
442	6071008500	0.278923	0.0026	2931179.5	6071008500	7623
443	6071008600	0.328111	0.004231	1926582	6071008600	8152
444	6071008703	0.410805	0.005846	1111005.625	6071008703	6496
445	6071008704	0.130483	0.000659	10291542	6071008704	6787
446	6071008705	0.132027	0.000451	9719366	6071008705	4390
447	6071008706	0.301318	0.001855	3225530.5	6071008706	5985
448	6071008707	0.097554	0.00045	16803794	6071008707	7572
449	6071008708	0.09301	0.000341	11786571	6071008708	4027
450	6071008800	0.072208	0.000309	20394488	6071008800	6312
451	6071008901	2.798258	0.35045	6543.000488	6071008901	2293
452	6071009102	0.238629	0.001906	70824.64063	6071009102	135
453	6071009104	1.390167	0.068821	355135.5	6071009104	24441
454	6071009105	0.490402	0.010976	881814.8125	6071009105	9679
455	6071009106	0.437074	0.012274	755691.1875	6071009106	9276
456	6071009107	0.408591	0.008139	672137.8125	6071009107	5471
457	6071009200	1.0661	0.045182	133504.1563	6071009200	6032
458	6059001101	0.065296	0.000177	24240106	6059001101	4296
459	6059001102	0.040733	0.000099	30932592	6059001102	3087
460	6059001103	0.057963	0.000131	33971956	6059001103	4460
461	6059001201	0.043487	0.000085	62749580	6059001201	5371
462	6059021817	0.050213	0.000103	35517176	6059021817	3673
463	6059021820	0.073672	0.000195	21480572	6059021820	4209
464	6059021821	0.089065	0.000212	24707172	6059021821	5258
465	6059021822	0.234442	0.001101	3391163.25	6059021822	3735
466	6037573401	0.053951	0.000101	13929576	6037573401	1407
467	6037573402	0.103638	0.000294	21117796	6037573402	6216
468	6037573403	0.073581	0.00017	10084661	6037573403	1715
